"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"14.05.2024","91,2528","91,3525","91,6130","91,1475","","-0,11%"
"13.05.2024","91,3525","92,2550","92,4158","91,2231","","-0,98%"
"10.05.2024","92,2550","91,9500","92,4407","91,7275","","0,33%"
"08.05.2024","91,9500","91,1075","92,1281","91,1075","","0,92%"
"07.05.2024","91,1075","91,3475","91,4175","90,9277","","-0,26%"
"06.05.2024","91,3475","91,6000","92,0779","90,8618","","-0,28%"
"03.05.2024","91,6000","92,0500","92,1625","91,4504","","-0,49%"
"02.05.2024","92,0500","93,0525","93,7475","91,7506","","-1,08%"
"30.04.2024","93,0525","93,0000","93,4129","92,8175","","0,06%"
"29.04.2024","93,0000","92,3975","93,1700","92,3975","","0,65%"
"27.04.2024","92,3975","91,7200","92,3975","91,4150","","0,74%"
"26.04.2024","91,7200","91,9375","92,3668","91,2425","","-0,24%"
"25.04.2024","91,9375","92,2450","92,5306","91,9205","","-0,33%"
"24.04.2024","92,2450","93,1275","93,2175","92,1608","","-0,95%"
"23.04.2024","93,1275","93,4700","93,4700","92,9632","","-0,37%"
"22.04.2024","93,4700","93,1525","93,5029","93,0923","","0,34%"
"19.04.2024","93,1525","93,7800","94,0117","92,9257","","-0,67%"
"18.04.2024","93,7800","94,2700","94,4040","93,7800","","-0,52%"
"17.04.2024","94,2700","94,4200","94,5263","94,0725","","-0,16%"
"16.04.2024","94,4200","93,7500","94,4381","93,7500","","0,71%"
"15.04.2024","93,7500","93,4300","93,7500","93,3425","","0,34%"
"12.04.2024","93,4300","93,2675","93,7145","93,2100","","0,17%"
"11.04.2024","93,2675","93,4325","93,9159","93,0461","","-0,18%"
"10.04.2024","93,4325","93,0000","93,5713","92,8384","","0,47%"
"09.04.2024","93,0000","92,7000","93,0000","92,6453","","0,32%"
"08.04.2024","92,7000","92,5000","92,7099","92,4443","","0,22%"
"05.04.2024","92,5000","92,2400","92,5878","92,2400","","0,28%"
"04.04.2024","92,2400","92,3050","92,4871","92,0815","","-0,07%"
"03.04.2024","92,3050","92,5775","92,7450","91,9818","","-0,29%"
"02.04.2024","92,5775","92,1425","92,7632","92,1425","","0,47%"
"01.04.2024","92,1425","92,4800","92,4800","92,1425","","-0,36%"
"29.03.2024","92,4800","92,5000","92,6775","91,9833","","-0,02%"
"28.03.2024","92,5000","92,3050","92,5785","91,9050","","0,21%"
"27.03.2024","92,3050","92,7000","92,8375","91,7770","","-0,43%"
"26.03.2024","92,7000","92,5800","92,8718","92,3600","","0,13%"
"25.03.2024","92,5800","92,7950","93,0475","92,5157","","-0,23%"
"22.03.2024","92,7950","92,0625","92,8689","92,0625","","0,80%"
"21.03.2024","92,0625","92,2500","92,4614","91,4381","","-0,20%"
"20.03.2024","92,2500","92,6475","92,8547","92,1976","","-0,43%"
"19.03.2024","92,6475","91,9175","92,6664","91,7200","","0,79%"
"18.03.2024","91,9175","92,9025","93,4350","91,3277","","-1,06%"
"15.03.2024","92,9025","91,7200","93,0000","91,5818","","1,29%"
"14.03.2024","91,7200","91,5025","91,8287","91,4153","","0,24%"
"13.03.2024","91,5025","91,7800","91,9450","91,2016","","-0,30%"
"12.03.2024","91,7800","90,6275","91,8195","90,5328","","1,27%"
"11.03.2024","90,6275","90,6025","90,8460","90,4468","","0,03%"
"07.03.2024","90,6025","90,5950","91,0781","90,5950","","0,01%"
"06.03.2024","90,5950","90,5200","90,8075","90,0970","","0,08%"
"05.03.2024","90,5200","91,2500","91,5000","90,5200","","-0,80%"
